Date,Occasion,Year,Weekday
2026-01-15,Municipal Corporation Election - Maharashtra,2026,Thursday
2026-01-26,Republic Day,2026,Monday
2026-03-03,Holi,2026,Tuesday
2026-03-26,Shri Ram Navami,2026,Thursday
2026-03-31,Shri Mahavir Jayanti,2026,Tuesday
2026-04-03,Good Friday,2026,Friday
2026-04-14,Dr. Baba Saheb Ambedkar Jayanti,2026,Tuesday
2026-05-01,Maharashtra Day,2026,Friday
2026-05-28,Bakri Id,2026,Thursday
2026-06-26,Muharram,2026,Friday
2026-09-14,Ganesh Chaturthi,2026,Monday
2026-10-02,Mahatma Gandhi Jayanti,2026,Friday
2026-10-20,Dussehra,2026,Tuesday
2026-11-10,Diwali Balipratipada,2026,Tuesday
2026-11-24,Prakash Gurpurb Sri Guru Nanak Dev,2026,Tuesday
2026-12-25,Christmas,2026,Friday
2027-01-26,Republic Day,2027,Tuesday
2027-03-08,Mahashivratri,2027,Monday
2027-03-22,Holi,2027,Monday
2027-03-26,Good Friday,2027,Friday
2027-04-14,Dr. Baba Saheb Ambedkar Jayanti,2027,Wednesday
2027-05-01,Maharashtra Day,2027,Saturday
2027-10-02,Mahatma Gandhi Jayanti,2027,Saturday
2027-10-11,Dussehra,2027,Monday
2027-11-13,Gurunanak Jayanti,2027,Saturday
2027-12-25,Christmas,2027,Saturday
